[2025-06-16 01:09:36,558] WARNING [django.request] Bad Request: /student/edit/1e9c8e55-1676-4443-84af-a5466109b03f/
[2025-06-16 01:09:36,561] WARNING [django.server] "POST /student/edit/1e9c8e55-1676-4443-84af-a5466109b03f/ HTTP/1.1" 400 87
[2025-06-16 01:09:48,811] INFO [app_logger] [STUDENT EDIT] Updated record: student 'test', subject 'English', marks 95
[2025-06-16 01:09:48,816] INFO [django.server] "POST /student/edit/f5e39b29-79c7-469f-a3d3-2838dedbffde/ HTTP/1.1" 200 88
[2025-06-16 01:09:49,903] INFO [django.server] "GET /home/ HTTP/1.1" 200 10414
[2025-06-16 01:09:49,976] INFO [django.server] "GET /static/css/style.css HTTP/1.1" 304 0
[2025-06-16 01:09:53,067] INFO [app_logger] [STUDENT DELETE] Deleting mark for student 'test' and subject 'Chemistry'.
[2025-06-16 01:09:53,082] INFO [django.server] "POST /student/delete/1e9c8e55-1676-4443-84af-a5466109b03f/ HTTP/1.1" 200 72
[2025-06-16 01:09:54,184] INFO [django.server] "GET /home/ HTTP/1.1" 200 9703
[2025-06-16 01:09:56,876] INFO [app_logger] [STUDENT DELETE] Deleting mark for student 'test' and subject 'English'.
[2025-06-16 01:09:56,885] INFO [django.server] "POST /student/delete/f5e39b29-79c7-469f-a3d3-2838dedbffde/ HTTP/1.1" 200 72
[2025-06-16 01:09:57,961] INFO [django.server] "GET /home/ HTTP/1.1" 200 8994
[2025-06-16 01:10:00,504] INFO [app_logger] [LOGOUT] User 'admin' logged out.
[2025-06-16 01:10:00,524] INFO [django.server] "GET /logout/ HTTP/1.1" 302 0
[2025-06-16 01:10:00,539] INFO [django.server] "GET / HTTP/1.1" 200 3514
[2025-06-16 01:10:06,077] WARNING [app_logger] [LOGIN FAILED] Invalid credentials for user 'ad'.
[2025-06-16 01:10:06,080] INFO [django.server] "POST / HTTP/1.1" 200 3578
